MODEL,POINT,IID,STID,STSIZ,ROSIZ,NBO,DPY
Demo - Model 01,43,10115,S_CARRIER,,,0,0.2
Demo - Model 01,43,10115,S_CRUISER,,,0,0.2
Demo - Model 01,43,10115,S_DESTROYER_01,,,0,0.2
Demo - Model 01,43,10115,S_DESTROYER_02,,,0,0.2
Demo - Model 01,43,10115,S_FRIGATE_01,,,0,0.2
Demo - Model 01,43,10115,S_FRIGATE_02,,,0,0.2
Demo - Model 01,43,10115,S_SUPPLY_SHIP_01,,,0,0.2
Demo - Model 01,43,10115,S_SUPPLY_SHIP_02,,,0,0.2
Demo - Model 01,43,10116,WORKSHOP,,,0.0012,0.28
Demo - Model 01,43,10116,HOME BASE,1,,0,0.28
Demo - Model 01,43,10116,MAIN DEPOT,,,0.0027,0.28
Demo - Model 01,43,10116,S_CARRIER,,,0,0.03
Demo - Model 01,43,10116,S_CRUISER,,,0,0.03
Demo - Model 01,43,10116,S_DESTROYER_01,,,0,0.03
Demo - Model 01,43,10116,S_DESTROYER_02,,,0,0.03
Demo - Model 01,43,10116,S_FRIGATE_01,,,0,0.03
Demo - Model 01,43,10116,S_FRIGATE_02,,,0,0.03
Demo - Model 01,43,10116,S_SUPPLY_SHIP_01,,,0,0.03
Demo - Model 01,43,10116,S_SUPPLY_SHIP_02,,,0,0.03
Demo - Model 01,43,10117,WORKSHOP,,,0.008,1.85
Demo - Model 01,43,10117,HOME BASE,2,,0,1.85
Demo - Model 01,43,10117,MAIN DEPOT,,,0.0181,1.85
Demo - Model 01,43,10117,S_CARRIER,,,0,0.23
Demo - Model 01,43,10117,S_CRUISER,,,0,0.23
Demo - Model 01,43,10117,S_DESTROYER_01,,,0,0.23
Demo - Model 01,43,10117,S_DESTROYER_02,,,0,0.23
Demo - Model 01,43,10117,S_FRIGATE_01,,,0,0.23
Demo - Model 01,43,10117,S_FRIGATE_02,,,0,0.23
Demo - Model 01,43,10117,S_SUPPLY_SHIP_01,,,0,0.23
Demo - Model 01,43,10117,S_SUPPLY_SHIP_02,,,0,0.23
Demo - Model 01,43,10118,WORKSHOP,,1,0.0002,1.74
Demo - Model 01,43,10118,HOME BASE,1,,0,1.74
Demo - Model 01,43,10118,MAIN DEPOT,,,0.0097,1.74
Demo - Model 01,43,10118,S_CARRIER,,,0,0.22
Demo - Model 01,43,10118,S_CRUISER,,,0,0.22
Demo - Model 01,43,10118,S_DESTROYER_01,,,0,0.22
Demo - Model 01,43,10118,S_DESTROYER_02,,,0,0.22
Demo - Model 01,43,10118,S_FRIGATE_01,,,0,0.22
Demo - Model 01,43,10118,S_FRIGATE_02,,,0,0.22
Demo - Model 01,43,10118,S_SUPPLY_SHIP_01,,,0,0.22
Demo - Model 01,43,10118,S_SUPPLY_SHIP_02,,,0,0.22
Demo - Model 01,43,10119,WORKSHOP,,1,0.0002,1.68
Demo - Model 01,43,10119,HOME BASE,1,,0,1.68
Demo - Model 01,43,10119,MAIN DEPOT,,,0.0094,1.68
Demo - Model 01,43,10119,S_CARRIER,,,0,0.21
Demo - Model 01,43,10119,S_CRUISER,,,0,0.21
Demo - Model 01,43,10119,S_DESTROYER_01,,,0,0.21
Demo - Model 01,43,10119,S_DESTROYER_02,,,0,0.21
Demo - Model 01,43,10119,S_FRIGATE_01,,,0,0.21
Demo - Model 01,43,10119,S_FRIGATE_02,,,0,0.21
Demo - Model 01,43,10119,S_SUPPLY_SHIP_01,,,0,0.21
Demo - Model 01,43,10119,S_SUPPLY_SHIP_02,,,0,0.21
Demo - Model 01,43,1012,HOME BASE,,,0,0
Demo - Model 01,43,1012,MAIN DEPOT,,,0,0
Demo - Model 01,43,1012,S_CARRIER,1,,0,0.72
Demo - Model 01,43,1012,S_CRUISER,1,,0,0.72
Demo - Model 01,43,1012,S_DESTROYER_01,1,,0,0.72
Demo - Model 01,43,1012,S_DESTROYER_02,1,,0,0.72
Demo - Model 01,43,1012,S_FRIGATE_01,1,,0,0.72
Demo - Model 01,43,1012,S_FRIGATE_02,1,,0,0.72
Demo - Model 01,43,1012,S_SUPPLY_SHIP_01,1,,0.0001,1.15
Demo - Model 01,43,1012,S_SUPPLY_SHIP_02,1,,0.0001,1.15
Demo - Model 01,43,10121,WORKSHOP,,,0.0044,1
Demo - Model 01,43,10121,HOME BASE,1,,0.0001,1
Demo - Model 01,43,10121,MAIN DEPOT,,,0.0099,1
Demo - Model 01,43,10121,S_CARRIER,,,0,0.1
Demo - Model 01,43,10121,S_CRUISER,,,0,0.1
Demo - Model 01,43,10121,S_DESTROYER_01,,,0,0.1
Demo - Model 01,43,10121,S_DESTROYER_02,,,0,0.1
Demo - Model 01,43,10121,S_FRIGATE_01,,,0,0.1
Demo - Model 01,43,10121,S_FRIGATE_02,,,0,0.1
Demo - Model 01,43,10121,S_SUPPLY_SHIP_01,,,0,0.2
Demo - Model 01,43,10121,S_SUPPLY_SHIP_02,,,0,0.2
Demo - Model 01,43,10122,WORKSHOP,,,0.0005,0.12
Demo - Model 01,43,10122,HOME BASE,,,0.0012,0.12
Demo - Model 01,43,10122,MAIN DEPOT,,,0.0012,0.12
Demo - Model 01,43,10122,S_CARRIER,,,0.0001,0.01
Demo - Model 01,43,10122,S_CRUISER,,,0.0001,0.01
Demo - Model 01,43,10122,S_DESTROYER_01,,,0.0001,0.01
Demo - Model 01,43,10122,S_DESTROYER_02,,,0.0001,0.01
Demo - Model 01,43,10122,S_FRIGATE_01,,,0.0001,0.01
Demo - Model 01,43,10122,S_FRIGATE_02,,,0.0001,0.01
Demo - Model 01,43,10122,S_SUPPLY_SHIP_01,,,0.0002,0.02
Demo - Model 01,43,10122,S_SUPPLY_SHIP_02,,,0.0002,0.02
Demo - Model 01,43,10123,WORKSHOP,,,0.0039,0.89
Demo - Model 01,43,10123,HOME BASE,,,0.0091,0.89
Demo - Model 01,43,10123,MAIN DEPOT,,,0.0087,0.89
Demo - Model 01,43,10123,S_CARRIER,,,0.0009,0.09
Demo - Model 01,43,10123,S_CRUISER,,,0.0009,0.09
Demo - Model 01,43,10123,S_DESTROYER_01,,,0.0009,0.09
Demo - Model 01,43,10123,S_DESTROYER_02,,,0.0009,0.09
Demo - Model 01,43,10123,S_FRIGATE_01,,,0.0009,0.09
Demo - Model 01,43,10123,S_FRIGATE_02,,,0.0009,0.09
Demo - Model 01,43,10123,S_SUPPLY_SHIP_01,,,0.0018,0.18
Demo - Model 01,43,10123,S_SUPPLY_SHIP_02,,,0.0018,0.18
Demo - Model 01,43,10124,WORKSHOP,,,0.0014,0.32
Demo - Model 01,43,10124,HOME BASE,,,0.0033,0.32
Demo - Model 01,43,10124,MAIN DEPOT,,,0.0031,0.32
Demo - Model 01,43,10124,S_CARRIER,,,0.0003,0.03
Demo - Model 01,43,10124,S_CRUISER,,,0.0003,0.03
Demo - Model 01,43,10124,S_DESTROYER_01,,,0.0003,0.03
Demo - Model 01,43,10124,S_DESTROYER_02,,,0.0003,0.03
Demo - Model 01,43,10124,S_FRIGATE_01,,,0.0003,0.03
Demo - Model 01,43,10124,S_FRIGATE_02,,,0.0003,0.03
Demo - Model 01,43,10124,S_SUPPLY_SHIP_01,,,0.0007,0.06
Demo - Model 01,43,10124,S_SUPPLY_SHIP_02,,,0.0007,0.06
Demo - Model 01,43,10125,WORKSHOP,,,0.0028,0.66
Demo - Model 01,43,10125,HOME BASE,,,0.0067,0.66
Demo - Model 01,43,10125,MAIN DEPOT,,,0.0064,0.66
Demo - Model 01,43,10125,S_CARRIER,,,0.0007,0.07
Demo - Model 01,43,10125,S_CRUISER,,,0.0007,0.07
Demo - Model 01,43,10125,S_DESTROYER_01,,,0.0007,0.07
Demo - Model 01,43,10125,S_DESTROYER_02,,,0.0007,0.07
Demo - Model 01,43,10125,S_FRIGATE_01,,,0.0007,0.07
Demo - Model 01,43,10125,S_FRIGATE_02,,,0.0007,0.07
Demo - Model 01,43,10125,S_SUPPLY_SHIP_01,,,0.0013,0.13
Demo - Model 01,43,10125,S_SUPPLY_SHIP_02,,,0.0013,0.13
Demo - Model 01,43,10126,WORKSHOP,,,0.0005,0.11
Demo - Model 01,43,10126,HOME BASE,,,0.0012,0.11
Demo - Model 01,43,10126,MAIN DEPOT,,,0.0011,0.11
Demo - Model 01,43,10126,S_CARRIER,,,0.0001,0.01
Demo - Model 01,43,10126,S_CRUISER,,,0.0001,0.01
Demo - Model 01,43,10126,S_DESTROYER_01,,,0.0001,0.01
Demo - Model 01,43,10126,S_DESTROYER_02,,,0.0001,0.01
Demo - Model 01,43,10126,S_FRIGATE_01,,,0.0001,0.01
Demo - Model 01,43,10126,S_FRIGATE_02,,,0.0001,0.01
Demo - Model 01,43,10126,S_SUPPLY_SHIP_01,,,0.0002,0.02
Demo - Model 01,43,10126,S_SUPPLY_SHIP_02,,,0.0002,0.02
Demo - Model 01,43,10127,WORKSHOP,,,0.0033,0.76
Demo - Model 01,43,10127,HOME BASE,1,,0,0.76
Demo - Model 01,43,10127,MAIN DEPOT,,,0.0074,0.76
Demo - Model 01,43,10127,S_CARRIER,,,0,0.08
Demo - Model 01,43,10127,S_CRUISER,,,0,0.08
Demo - Model 01,43,10127,S_DESTROYER_01,,,0,0.08
Demo - Model 01,43,10127,S_DESTROYER_02,,,0,0.08
Demo - Model 01,43,10127,S_FRIGATE_01,,,0,0.08
Demo - Model 01,43,10127,S_FRIGATE_02,,,0,0.08
Demo - Model 01,43,10127,S_SUPPLY_SHIP_01,,,0,0.15
Demo - Model 01,43,10127,S_SUPPLY_SHIP_02,,,0,0.15
Demo - Model 01,43,10128,WORKSHOP,,,0.0002,0.06
Demo - Model 01,43,10128,HOME BASE,,,0.0006,0.06
Demo - Model 01,43,10128,MAIN DEPOT,,,0.0006,0.06
Demo - Model 01,43,10128,S_CARRIER,,,0.0001,0.01
Demo - Model 01,43,10128,S_CRUISER,,,0.0001,0.01
Demo - Model 01,43,10128,S_DESTROYER_01,,,0.0001,0.01
Demo - Model 01,43,10128,S_DESTROYER_02,,,0.0001,0.01
Demo - Model 01,43,10128,S_FRIGATE_01,,,0.0001,0.01
Demo - Model 01,43,10128,S_FRIGATE_02,,,0.0001,0.01
Demo - Model 01,43,10128,S_SUPPLY_SHIP_01,,,0.0001,0.01
Demo - Model 01,43,10128,S_SUPPLY_SHIP_02,,,0.0001,0.01
Demo - Model 01,43,10129,WORKSHOP,,,0.0014,0.31
Demo - Model 01,43,10129,HOME BASE,,,0.0032,0.31
Demo - Model 01,43,10129,MAIN DEPOT,,,0.0031,0.31
Demo - Model 01,43,10129,S_CARRIER,,,0.0003,0.03
Demo - Model 01,43,10129,S_CRUISER,,,0.0003,0.03
Demo - Model 01,43,10129,S_DESTROYER_01,,,0.0003,0.03
Demo - Model 01,43,10129,S_DESTROYER_02,,,0.0003,0.03
Demo - Model 01,43,10129,S_FRIGATE_01,,,0.0003,0.03
Demo - Model 01,43,10129,S_FRIGATE_02,,,0.0003,0.03
Demo - Model 01,43,10129,S_SUPPLY_SHIP_01,,,0.0006,0.06
Demo - Model 01,43,10129,S_SUPPLY_SHIP_02,,,0.0006,0.06
Demo - Model 01,43,101210,WORKSHOP,,1,0.0003,2.38
Demo - Model 01,43,101210,HOME BASE,,,0.0144,2.38
Demo - Model 01,43,101210,MAIN DEPOT,,,0.0133,2.38
Demo - Model 01,43,101210,S_CARRIER,,,0.0018,0.3
Demo - Model 01,43,101210,S_CRUISER,,,0.0018,0.3
Demo - Model 01,43,101210,S_DESTROYER_01,,,0.0018,0.3
Demo - Model 01,43,101210,S_DESTROYER_02,,,0.0018,0.3
Demo - Model 01,43,101210,S_FRIGATE_01,,,0.0018,0.3
Demo - Model 01,43,101210,S_FRIGATE_02,,,0.0018,0.3
Demo - Model 01,43,101210,S_SUPPLY_SHIP_01,,,0.0018,0.3
Demo - Model 01,43,101210,S_SUPPLY_SHIP_02,,,0.0018,0.3
Demo - Model 01,43,1021,HOME BASE,1,,0,0.6
Demo - Model 01,43,1021,MAIN DEPOT,,,0.0005,0.45
Demo - Model 01,43,1021,S_CARRIER,,,0,0.08
Demo - Model 01,43,1021,S_CRUISER,,,0,0.08
Demo - Model 01,43,1021,S_DESTROYER_01,,,0,0.08
Demo - Model 01,43,1021,S_DESTROYER_02,,,0,0.08
Demo - Model 01,43,1021,S_FRIGATE_01,,,0,0.08
Demo - Model 01,43,1021,S_FRIGATE_02,,,0,0.08
Demo - Model 01,43,1021,S_SUPPLY_SHIP_01,,,0,0.08
Demo - Model 01,43,1021,S_SUPPLY_SHIP_02,,,0,0.08
Demo - Model 01,43,1022,HOME BASE,1,,0,0.04
Demo - Model 01,43,1022,MAIN DEPOT,,,0,0.03
Demo - Model 01,43,1022,S_CARRIER,,,0,0
Demo - Model 01,43,1022,S_CRUISER,,,0,0
Demo - Model 01,43,1022,S_DESTROYER_01,,,0,0
Demo - Model 01,43,1022,S_DESTROYER_02,,,0,0
Demo - Model 01,43,1022,S_FRIGATE_01,,,0,0
Demo - Model 01,43,1022,S_FRIGATE_02,,,0,0
Demo - Model 01,43,1022,S_SUPPLY_SHIP_01,,,0,0
Demo - Model 01,43,1022,S_SUPPLY_SHIP_02,,,0,0
Demo - Model 01,43,1023,HOME BASE,1,,0,1.07
Demo - Model 01,43,1023,MAIN DEPOT,,,0.0009,0.8
Demo - Model 01,43,1023,S_CARRIER,,,0,0.13
Demo - Model 01,43,1023,S_CRUISER,,,0,0.13
Demo - Model 01,43,1023,S_DESTROYER_01,,,0,0.13
Demo - Model 01,43,1023,S_DESTROYER_02,,,0,0.13
Demo - Model 01,43,1023,S_FRIGATE_01,,,0,0.13
Demo - Model 01,43,1023,S_FRIGATE_02,,,0,0.13
Demo - Model 01,43,1023,S_SUPPLY_SHIP_01,,,0,0.13
Demo - Model 01,43,1023,S_SUPPLY_SHIP_02,,,0,0.13
Demo - Model 01,43,1024,HOME BASE,1,,0,0.1
Demo - Model 01,43,1024,MAIN DEPOT,,,0.0001,0.07
Demo - Model 01,43,1024,S_CARRIER,,,0,0.01
Demo - Model 01,43,1024,S_CRUISER,,,0,0.01
Demo - Model 01,43,1024,S_DESTROYER_01,,,0,0.01
Demo - Model 01,43,1024,S_DESTROYER_02,,,0,0.01
Demo - Model 01,43,1024,S_FRIGATE_01,,,0,0.01
Demo - Model 01,43,1024,S_FRIGATE_02,,,0,0.01
Demo - Model 01,43,1024,S_SUPPLY_SHIP_01,,,0,0.01
Demo - Model 01,43,1024,S_SUPPLY_SHIP_02,,,0,0.01
Demo - Model 01,43,1025,HOME BASE,1,,0,0.2
Demo - Model 01,43,1025,MAIN DEPOT,,,0.0002,0.15
Demo - Model 01,43,1025,S_CARRIER,,,0,0.02
Demo - Model 01,43,1025,S_CRUISER,,,0,0.02
Demo - Model 01,43,1025,S_DESTROYER_01,,,0,0.02
Demo - Model 01,43,1025,S_DESTROYER_02,,,0,0.02
Demo - Model 01,43,1025,S_FRIGATE_01,,,0,0.02
Demo - Model 01,43,1025,S_FRIGATE_02,,,0,0.02
Demo - Model 01,43,1025,S_SUPPLY_SHIP_01,,,0,0.02
Demo - Model 01,43,1025,S_SUPPLY_SHIP_02,,,0,0.02
Demo - Model 01,43,1026,WORKSHOP,,1,0,0.1
Demo - Model 01,43,1026,HOME BASE,1,,0,0.1
Demo - Model 01,43,1026,MAIN DEPOT,,,0.0006,0.1
Demo - Model 01,43,1026,S_CARRIER,,,0,0.01
Demo - Model 01,43,1026,S_CRUISER,,,0,0.01
Demo - Model 01,43,1026,S_DESTROYER_01,,,0,0.01
Demo - Model 01,43,1026,S_DESTROYER_02,,,0,0.01
Demo - Model 01,43,1026,S_FRIGATE_01,,,0,0.01
Demo - Model 01,43,1026,S_FRIGATE_02,,,0,0.01
Demo - Model 01,43,1026,S_SUPPLY_SHIP_01,,,0,0.01
Demo - Model 01,43,1026,S_SUPPLY_SHIP_02,,,0,0.01
Demo - Model 01,43,1027,WORKSHOP,,1,0,0.02
Demo - Model 01,43,1027,HOME BASE,1,,0,0.02
Demo - Model 01,43,1027,MAIN DEPOT,,,0.0001,0.02
Demo - Model 01,43,1027,S_CARRIER,,,0,0
Demo - Model 01,43,1027,S_CRUISER,,,0,0
Demo - Model 01,43,1027,S_DESTROYER_01,,,0,0
Demo - Model 01,43,1027,S_DESTROYER_02,,,0,0
Demo - Model 01,43,1027,S_FRIGATE_01,,,0,0
Demo - Model 01,43,1027,S_FRIGATE_02,,,0,0
Demo - Model 01,43,1027,S_SUPPLY_SHIP_01,,,0,0
Demo - Model 01,43,1027,S_SUPPLY_SHIP_02,,,0,0
Demo - Model 01,43,1031,HOME BASE,1,,0,1.33
Demo - Model 01,43,1031,MAIN DEPOT,,,0.0011,1
Demo - Model 01,43,1031,S_CARRIER,,,0,0.17
Demo - Model 01,43,1031,S_CRUISER,,,0,0.17
Demo - Model 01,43,1031,S_DESTROYER_01,,,0,0.17
Demo - Model 01,43,1031,S_DESTROYER_02,,,0,0.17
Demo - Model 01,43,1031,S_FRIGATE_01,,,0,0.17
Demo - Model 01,43,1031,S_FRIGATE_02,,,0,0.17
Demo - Model 01,43,1031,S_SUPPLY_SHIP_01,,,0,0.17
Demo - Model 01,43,1031,S_SUPPLY_SHIP_02,,,0,0.17
Demo - Model 01,43,1032,HOME BASE,,,0,0.04
Demo - Model 01,43,1032,MAIN DEPOT,,,0,0.03
Demo - Model 01,43,1032,S_CARRIER,,,0,0
Demo - Model 01,43,1032,S_CRUISER,,,0,0
Demo - Model 01,43,1032,S_DESTROYER_01,,,0,0
Demo - Model 01,43,1032,S_DESTROYER_02,,,0,0
